Hours_Studied,Attendance,Parental_Involvement,Access_to_Internet,Sleep_Hours,Tutoring_Sessions,Exam_Score
4.0,68.0,Medium,Yes,7.8,3,74.4
5.2,100.0,Low,Yes,8.0,3,83.8
9.6,63.7,Medium,Yes,5.8,0,80.2
1.3,81.7,Medium,Yes,7.5,2,65.1
6.4,85.6,Low,Yes,6.0,3,76.4
1.8,83.0,Medium,No,7.1,4,72.2
4.1,75.8,High,Yes,5.5,2,75.9
7.2,76.4,Medium,Yes,4.8,5,84.8
5.1,78.5,Medium,Yes,6.5,2,67.6
2.8,76.2,Medium,No,6.9,1,60.1
3.6,89.6,Low,Yes,6.5,3,76.0
6.4,100.0,Low,Yes,5.6,1,76.7
3.5,71.3,Medium,Yes,6.5,1,70.6
5.4,61.6,Low,No,7.3,1,74.8
5.1,76.9,Low,Yes,6.9,3,79.7
3.7,100.0,High,Yes,7.2,3,83.2
9.3,68.4,High,Yes,6.2,1,84.9
6.3,97.7,High,Yes,8.4,1,73.9
0.9,98.1,High,Yes,5.6,1,65.5
5.4,71.4,Low,Yes,7.6,2,70.8
3.7,84.8,High,Yes,8.4,0,78.6
6.7,97.5,Low,Yes,7.6,3,83.6
3.4,73.5,High,Yes,6.8,1,69.5
4.8,75.6,High,No,6.4,1,60.9
6.0,71.0,Medium,Yes,8.2,0,70.6
6.7,65.8,High,Yes,5.3,0,78.4
2.6,70.2,Medium,Yes,5.8,4,77.9
4.3,63.3,Medium,Yes,6.5,1,66.9
4.1,78.4,Medium,Yes,8.5,0,74.3
3.7,68.8,Medium,Yes,7.5,1,74.5
8.5,80.8,Low,Yes,5.8,1,74.5
5.8,59.3,Medium,Yes,6.6,0,72.0
2.5,82.0,High,Yes,6.3,1,65.0
6.8,88.0,Low,Yes,6.1,2,83.1
9.2,54.1,High,Yes,8.2,2,91.3
7.1,82.5,High,No,5.4,1,80.3
2.0,92.7,High,Yes,8.9,1,70.7
4.0,63.5,High,No,8.0,5,81.0
7.5,98.1,Medium,Yes,8.3,1,100.0
3.6,83.0,High,No,6.4,1,63.3
5.9,69.5,High,Yes,6.8,0,74.7
6.5,77.3,Low,Yes,5.3,1,72.6
3.1,84.7,Medium,Yes,6.4,3,76.5
4.9,78.9,Medium,Yes,7.6,0,69.9
0.5,84.5,Low,Yes,8.6,3,46.8
3.0,67.0,Medium,Yes,5.7,0,68.9
4.5,80.0,Medium,Yes,6.6,1,76.6
2.5,61.0,Low,Yes,6.8,3,51.0
8.3,76.7,Medium,Yes,5.3,1,77.2
2.1,67.2,High,Yes,7.7,2,78.9
4.1,69.2,Medium,Yes,6.1,0,74.2
5.3,92.8,Low,Yes,6.8,3,83.0
7.9,91.1,Low,Yes,6.5,0,78.3
2.1,85.3,Medium,Yes,6.1,4,70.4
7.3,64.9,High,Yes,7.0,0,79.9
5.0,74.2,Low,Yes,6.7,4,80.7
3.0,92.6,Medium,Yes,6.6,1,64.7
5.9,79.7,Low,Yes,6.1,3,70.2
5.4,100.0,Medium,Yes,7.4,1,86.9
3.8,82.7,High,Yes,9.0,4,84.3
5.1,80.3,Medium,Yes,7.2,0,81.7
4.2,74.3,Low,Yes,8.2,0,63.2
5.2,79.6,Medium,Yes,5.3,1,71.2
6.3,76.2,Low,Yes,7.2,0,66.8
8.2,86.5,Medium,Yes,5.7,0,81.7
2.5,89.5,Medium,Yes,5.2,4,61.4
9.3,68.6,Low,Yes,6.1,5,84.1
1.1,62.0,Medium,Yes,8.4,1,52.1
4.7,56.0,Medium,Yes,8.1,4,79.9
6.2,84.1,High,Yes,7.3,2,89.8
5.6,64.8,High,No,5.2,1,59.0
3.8,52.2,Low,Yes,6.8,3,71.6
4.6,82.7,High,No,7.4,2,91.3
4.0,100.0,Medium,Yes,7.2,5,83.5
3.8,77.9,Medium,Yes,4.8,1,61.9
6.7,88.1,High,Yes,5.9,2,100.0
5.7,79.0,High,Yes,6.9,0,70.5
3.6,76.8,High,Yes,7.6,0,72.7
6.8,89.0,Medium,Yes,4.4,0,76.2
5.6,74.5,Medium,Yes,6.8,5,90.0
6.6,81.2,High,No,7.2,3,85.9
6.3,81.9,Medium,Yes,8.0,3,81.6
3.3,70.0,Medium,Yes,7.8,2,64.5
3.9,89.9,Medium,Yes,7.7,1,72.4
6.5,75.9,Medium,Yes,6.0,0,68.5
6.2,68.9,Low,Yes,4.7,1,67.5
5.0,84.4,Low,Yes,6.5,1,67.0
5.2,67.2,High,No,8.2,3,69.3
7.6,78.3,Low,Yes,8.7,2,91.1
3.8,77.9,Medium,Yes,7.9,0,67.1
6.1,91.0,Low,Yes,7.5,0,67.9
4.6,83.7,Low,Yes,7.5,0,68.1
4.6,77.7,Low,Yes,6.3,1,67.6
7.2,87.8,Low,Yes,6.8,4,73.7
6.7,94.7,High,Yes,9.0,2,94.9
6.6,84.7,Medium,Yes,5.9,3,75.7
7.6,78.1,High,Yes,8.9,1,100.0
5.0,62.3,Medium,Yes,6.6,1,72.8
6.4,65.2,Medium,Yes,8.6,0,74.6
4.4,74.3,Medium,Yes,5.3,4,68.8
5.6,70.7,Medium,Yes,7.7,3,78.6
4.7,75.8,High,Yes,6.1,0,76.6
5.2,78.7,Medium,Yes,5.3,2,73.0
6.2,84.4,Medium,Yes,7.3,1,78.5
3.4,77.2,High,Yes,8.2,2,77.2
9.2,83.8,High,Yes,6.0,4,92.5
3.0,78.8,High,Yes,5.2,2,67.9
2.6,54.3,Medium,Yes,6.9,2,50.2
7.3,66.7,High,Yes,6.9,0,86.7
6.6,76.3,Medium,Yes,7.7,0,80.1
6.2,63.5,Medium,Yes,8.1,0,70.4
6.3,85.2,Low,No,6.9,0,81.1
5.0,96.4,Medium,Yes,9.2,3,86.5
3.2,92.6,Low,Yes,7.3,3,65.4
5.2,75.4,Medium,Yes,6.6,0,76.6
3.6,95.9,High,Yes,5.1,3,79.6
7.0,79.8,Low,No,6.7,0,72.7
4.7,74.0,Low,Yes,6.6,1,64.8
3.3,70.6,Low,No,8.2,0,62.2
4.4,74.4,High,No,7.6,1,70.9
5.8,73.3,Medium,No,5.6,1,72.0
3.9,80.0,Medium,Yes,7.2,1,59.9
3.4,79.9,High,Yes,7.8,1,72.3
5.5,78.0,High,Yes,8.8,5,100.0
5.5,83.2,Medium,Yes,8.1,0,72.5
4.0,92.3,Medium,Yes,7.9,0,70.3
4.1,89.4,High,Yes,7.1,0,73.3
5.5,60.2,Medium,Yes,7.5,2,67.2
2.1,47.4,Low,Yes,8.5,0,41.9
2.2,89.2,High,Yes,5.4,3,70.5
3.6,61.6,Medium,Yes,6.6,2,67.7
4.6,75.3,Medium,Yes,6.1,2,71.8
5.6,64.0,Medium,Yes,7.5,2,74.7
8.0,56.4,Low,Yes,8.5,0,76.3
6.7,84.5,Low,Yes,6.3,0,79.8
4.7,87.1,High,Yes,4.1,1,72.1
5.0,71.1,Low,No,6.5,2,61.8
3.0,46.9,Medium,Yes,8.1,0,59.4
5.0,71.4,Medium,Yes,7.6,0,75.4
4.4,82.7,Low,Yes,7.5,5,85.7
5.6,60.3,High,Yes,6.7,0,69.8
3.3,80.2,Low,Yes,5.5,3,66.2
6.0,77.8,Medium,Yes,7.6,3,83.9
8.1,85.0,Medium,Yes,6.0,1,77.5
4.8,79.4,Low,Yes,9.6,0,73.2
5.8,66.3,Low,Yes,7.7,0,60.8
6.4,92.4,Medium,Yes,6.3,2,71.4
4.2,76.1,High,No,6.3,2,73.6
5.4,77.7,Low,No,6.9,3,68.3
5.0,66.8,Medium,Yes,6.7,4,77.5
5.2,72.7,Medium,Yes,8.3,2,77.7
3.5,67.4,High,Yes,7.2,0,63.6
5.0,75.9,Medium,Yes,6.1,0,69.6
6.0,98.5,Medium,Yes,9.3,3,82.5
7.9,61.5,Medium,No,7.1,0,82.4
6.9,58.6,Medium,Yes,7.9,0,67.6
9.3,95.7,High,Yes,6.3,3,96.6
3.5,75.5,Low,Yes,7.4,1,59.2
6.7,70.0,Medium,No,7.4,4,83.3
5.4,90.5,High,Yes,4.7,2,77.2
9.4,70.7,High,Yes,9.4,0,90.3
3.4,99.9,High,Yes,8.5,4,91.2
3.3,86.1,High,Yes,6.5,1,73.5
3.8,72.1,Medium,Yes,5.7,1,69.3
0.8,100.0,Medium,No,7.4,1,56.3
3.9,70.7,Medium,Yes,7.1,0,58.8
3.5,86.9,Low,Yes,7.4,1,68.6
5.3,81.6,Medium,Yes,7.2,0,72.4
5.7,93.6,Medium,Yes,7.6,1,84.6
8.8,96.7,Low,Yes,8.7,1,89.2
6.9,78.4,High,Yes,7.7,3,90.4
3.8,69.0,Medium,Yes,5.7,3,59.4
3.2,83.5,High,Yes,8.6,0,86.1
6.0,69.9,Low,Yes,9.0,1,74.4
2.4,100.0,Medium,Yes,10.0,1,80.7
8.7,79.6,Medium,No,5.7,0,72.7
7.4,73.6,Medium,Yes,7.3,3,86.7
4.1,80.2,Medium,Yes,4.5,3,62.3
1.6,61.8,High,Yes,7.7,0,65.8
7.7,66.3,Low,Yes,6.3,1,72.5
4.8,92.4,Medium,Yes,9.3,0,79.5
7.5,70.1,Medium,Yes,6.1,2,84.4
1.8,65.4,Medium,Yes,5.0,0,47.8
3.8,84.4,High,Yes,6.4,5,77.4
5.0,92.2,High,Yes,4.6,3,82.6
5.1,86.6,Medium,Yes,7.9,1,90.6
4.1,90.0,Medium,No,4.5,2,65.7
6.2,68.9,Medium,Yes,7.0,4,84.7
2.9,60.9,High,Yes,4.5,2,63.6
4.7,96.0,Medium,No,6.6,0,82.0
5.2,74.1,Medium,No,9.0,1,63.3
6.0,75.0,High,Yes,7.4,3,85.5
6.4,93.9,Medium,Yes,6.0,2,72.0
2.8,84.7,High,Yes,7.0,2,59.2
1.9,83.5,Low,Yes,7.0,4,68.4
7.6,100.0,Medium,Yes,7.6,4,94.6
5.7,70.3,Medium,Yes,5.4,4,75.0
3.5,89.1,High,Yes,7.7,0,74.6
8.1,78.7,High,Yes,4.0,2,100.0
5.2,81.2,Medium,Yes,6.2,3,75.8
7.4,96.3,Medium,Yes,6.4,3,91.1
5.1,84.1,Medium,Yes,7.8,2,75.1
9.1,84.5,High,Yes,7.0,0,92.5
8.5,90.9,Medium,Yes,5.3,3,86.8
4.5,73.6,Medium,No,5.8,3,66.1
6.9,67.9,Low,Yes,7.2,0,83.3
6.3,65.5,High,Yes,6.9,1,86.2
7.7,54.4,Medium,Yes,6.3,0,75.0
3.1,100.0,Medium,Yes,6.4,1,57.7
6.4,64.8,Low,No,7.8,0,65.2
7.1,75.3,High,Yes,6.4,1,99.1
1.5,74.7,Low,Yes,6.9,2,58.3
2.6,81.7,Medium,Yes,9.6,2,80.7
0.9,87.8,High,Yes,5.3,2,74.0
4.5,88.3,Medium,Yes,4.8,3,75.1
6.4,71.0,Low,Yes,7.9,0,67.8
8.0,76.0,Medium,Yes,6.2,0,65.1
5.1,81.4,High,Yes,6.6,4,87.7
8.3,75.0,Medium,Yes,6.1,0,75.4
2.2,97.3,High,No,6.7,5,76.9
1.6,83.9,Low,Yes,8.9,3,60.3
4.9,86.8,Medium,Yes,8.0,2,77.8
5.8,86.0,Medium,Yes,8.0,5,87.7
4.9,92.1,High,No,5.3,0,73.2
0.9,80.2,Low,Yes,5.6,1,47.8
4.8,62.4,High,Yes,4.0,2,76.9
2.4,82.8,Medium,Yes,6.0,1,61.1
6.3,70.2,Medium,Yes,8.1,4,74.0
5.7,71.7,Low,Yes,7.6,0,69.6
3.1,85.0,High,Yes,6.7,2,74.8
4.0,92.9,Low,Yes,7.0,2,72.8
2.9,78.3,Medium,Yes,6.2,2,75.7
4.9,81.7,Medium,Yes,7.2,1,73.4
6.9,98.4,High,Yes,7.9,1,89.6
3.0,80.9,Medium,Yes,5.1,3,61.4
6.0,100.0,High,Yes,7.4,0,89.9
3.9,84.8,Medium,Yes,8.1,3,78.8
3.4,56.9,Medium,Yes,6.5,2,62.5
4.8,87.0,Medium,Yes,7.8,3,69.1
2.9,82.6,High,Yes,10.0,3,90.5
3.9,93.5,High,Yes,6.9,0,68.5
2.6,86.1,Low,Yes,7.5,2,63.3
8.9,76.3,Medium,Yes,6.1,4,91.8
5.1,63.3,Low,Yes,7.2,1,60.3
3.6,75.5,Medium,Yes,7.6,5,68.4
5.4,67.8,Medium,Yes,7.2,1,60.7
4.8,71.0,Medium,Yes,5.8,0,71.9
4.6,85.1,Medium,Yes,7.2,1,71.4
6.2,98.0,Medium,Yes,8.8,5,100.0
6.5,82.7,Medium,Yes,7.5,1,74.8
3.9,63.6,Medium,No,8.2,4,65.5
3.8,83.3,Medium,No,6.7,4,68.7
4.4,92.4,Low,Yes,7.9,1,74.5
0.5,70.7,High,Yes,7.3,0,57.9
2.0,76.4,Medium,Yes,5.9,3,69.1
7.7,78.2,Medium,Yes,7.4,1,77.6
8.3,68.6,Medium,Yes,5.8,3,75.4
4.5,85.8,Medium,Yes,6.2,1,61.7
6.2,76.5,Low,Yes,7.2,1,60.5
5.6,83.0,Medium,Yes,7.4,3,78.3
11.2,67.4,High,Yes,5.6,1,90.9
7.2,72.8,Medium,Yes,8.3,1,78.7
4.7,86.7,Medium,Yes,7.7,1,83.8
3.1,73.5,Medium,Yes,6.2,1,72.7
1.8,98.7,Low,Yes,5.2,2,60.5
5.4,73.2,Medium,Yes,6.8,3,66.6
3.5,80.7,High,Yes,6.5,1,69.4
2.2,89.2,Low,No,7.1,2,57.9
3.7,61.0,Medium,Yes,6.6,2,63.1
2.8,56.9,Medium,No,4.6,1,49.3
8.4,59.7,Medium,No,6.5,1,71.9
6.8,93.2,High,Yes,6.6,4,89.3
5.0,71.4,Low,Yes,7.8,3,69.9
8.0,100.0,Medium,Yes,6.2,2,89.8
5.2,71.2,Low,No,9.0,2,73.1
3.3,80.2,High,Yes,4.7,0,61.1
8.0,96.5,Low,Yes,8.6,2,96.3
6.1,100.0,Medium,Yes,6.7,2,77.6
2.9,100.0,Medium,Yes,8.0,2,66.2
4.6,92.5,Medium,Yes,7.1,1,78.4
3.2,90.3,Medium,Yes,8.4,0,67.0
2.2,85.1,Medium,Yes,6.5,0,65.7
6.9,87.3,Medium,No,5.7,5,68.3
8.8,71.4,Medium,Yes,8.7,1,96.4
2.2,68.2,Low,No,6.9,1,58.7
6.1,78.0,Medium,Yes,7.3,0,67.3
3.7,76.0,Medium,Yes,8.5,0,61.7
4.0,72.6,Medium,Yes,5.8,3,80.8
3.8,86.4,Medium,Yes,7.7,2,70.7
3.3,89.5,High,Yes,6.3,2,70.4
5.1,79.1,Medium,Yes,6.8,0,58.7
3.3,95.7,Low,Yes,7.1,3,70.1
5.5,64.3,Low,No,5.2,0,57.8
4.9,75.7,High,No,6.1,0,73.8
4.5,69.4,Medium,Yes,8.6,1,65.3
3.2,55.6,Low,Yes,8.1,1,52.4
3.8,77.0,Medium,Yes,6.9,0,70.6
6.5,76.5,Medium,Yes,7.3,2,86.9
6.0,96.2,Medium,No,6.6,2,68.7
3.0,85.6,Medium,Yes,8.6,3,82.5
5.2,65.7,Low,Yes,6.8,1,67.7
6.5,100.0,High,No,7.3,0,89.0
1.7,92.7,Medium,Yes,8.4,1,69.0
6.1,85.0,Medium,Yes,6.1,5,69.3
3.7,75.3,Medium,Yes,8.9,2,73.9
6.1,66.5,Medium,Yes,5.2,3,81.3
3.5,73.5,Medium,Yes,9.0,0,65.0
1.4,91.1,Medium,Yes,6.6,2,64.0
1.7,100.0,Medium,Yes,6.7,0,64.8
5.1,96.5,High,Yes,4.7,2,62.2
5.5,72.1,High,Yes,6.5,4,92.7
3.2,64.6,Low,Yes,5.8,5,60.6
6.3,79.7,Low,Yes,6.3,2,77.9
1.7,56.8,High,Yes,6.8,1,61.8
4.9,81.9,Medium,Yes,8.1,4,89.6
2.6,76.2,High,Yes,7.2,2,74.5
3.7,72.4,Low,Yes,7.4,0,62.2
5.1,58.9,Medium,Yes,5.7,1,62.1
3.3,84.2,Medium,Yes,5.9,0,70.7
4.2,71.6,Medium,Yes,9.2,1,63.2
7.0,64.0,Medium,Yes,6.1,1,79.4
3.8,43.5,Low,Yes,9.0,2,57.7
6.7,77.7,Medium,Yes,6.7,1,86.2
2.7,99.3,Medium,Yes,7.0,0,70.5
6.1,97.9,Medium,Yes,8.3,2,90.1
7.9,72.5,High,Yes,8.5,3,93.1
0.5,70.8,Medium,Yes,6.9,2,49.1
3.4,83.6,High,No,6.5,1,63.9
6.2,66.0,Low,Yes,6.9,4,80.4
4.6,81.6,Medium,Yes,7.4,4,80.7
5.7,87.2,High,Yes,8.1,0,89.7
3.8,92.7,Low,Yes,7.0,0,70.0
5.2,76.8,Low,Yes,7.7,3,69.5
4.7,75.6,Medium,Yes,9.0,3,75.3
7.3,67.5,Low,Yes,7.5,5,83.8
5.5,68.1,Medium,Yes,7.4,4,65.7
5.7,75.3,High,Yes,5.2,2,87.8
